ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,pmra,pmdec
58.348871614505505,24.064836614014734,7.264549191017467,0.02220439724624157,11.173697471618652,0.9978275299072266,19.43292773085072,-45.30034146560551
58.71911266637741,24.57605411468916,7.208138391902515,0.01689343899488449,12.603814125061035,1.6745262145996094,18.67246102022614,-43.91358350807733
58.35107468332698,25.243654714931846,7.848809801859378,0.35262516140937805,19.115324020385742,3.283681869506836,18.77384981418775,-47.55450965350966
56.789309152832566,24.259489450443994,7.833640432074027,0.19645626842975616,17.85895347595215,3.257038116455078,18.7083680264338,-44.982383170557924
56.78401518543688,24.306630324930296,7.383106353077731,0.05705578997731209,15.690887451171875,2.7416038513183594,21.055021775947182,-47.460814017984816
57.296064164609405,24.347399016105328,7.333918726452952,0.042854733765125275,16.013286590576172,2.8443222045898438,20.412294770494363,-45.02321719830596
57.551775384114954,24.532726387836213,7.223150189887358,0.016751177608966827,12.732841491699219,1.4336271286010742,19.107476326659604,-45.534887888264535
56.46297350545709,24.436236707935745,7.209794353551507,0.20679016411304474,18.111867904663086,2.7649364471435547,18.427704529113974,-46.40663934106374
56.523814101890245,24.613683357394308,7.347148990756307,0.10306941717863083,17.224361419677734,3.1212377548217773,21.355364281628134,-45.16090854605797
56.54130256139035,24.673394039869994,7.375605230542337,0.04004836454987526,14.265003204345703,2.3838396072387695,20.49684982104614,-47.161336891120584
56.65748307121974,24.747477728499646,7.632741644567266,0.015386245213449001,11.587448120117188,1.1021785736083984,20.422639395318274,-47.62659983841286
55.501624542599785,24.170060282479188,7.054724665871137,0.22034066915512085,18.56197166442871,3.786619186401367,21.136895741063924,-45.905267175290305
56.079500230471574,24.5882578307589,7.293191575999419,0.058852680027484894,16.397329330444336,2.9260787963867188,19.376287909920762,-45.97903948741636
55.800589547384604,24.745746758247314,7.278881418037203,0.043213289231061935,15.6493558883667,2.9632930755615234,19.59711686499867,-46.91534249809131
55.10089179724542,24.584305576488273,7.297294496883986,0.033703919500112534,15.177081108093262,2.4608068466186523,20.815545173730907,-44.23701968914629
