dist_mpc,vel_kms
87.0999984741211,7291.0
12.699999809265137,1524.0
16.5,1122.0
49.20000076293945,5438.0
143.1999969482422,14551.0
175.39999389648438,10857.0
51.099998474121094,2833.0
155.60000610351562,8194.0
139.3000030517578,10387.0
56.79999923706055,4680.0
85.5,7063.0
114.80000305175781,8401.0
124.19999694824219,5977.0
106.69999694824219,7526.0
72.0999984741211,6198.0
47.5,3400.0
15.899999618530273,1335.0
101.4000015258789,7808.0
132.39999389648438,8011.0
148.60000610351562,8460.0
117.5,10335.0
171.39999389648438,13504.0
61.099998474121094,4822.0
61.900001525878906,6305.0
73.0999984741211,6652.0
18.5,928.0
30.100000381469727,2606.0
136.10000610351562,11182.0
190.5,11958.0
176.1999969482422,9931.0
181.10000610351562,14222.0
114.30000305175781,7978.0
16.899999618530273,1732.0
98.19999694824219,10067.0
129.39999389648438,11068.0
97.69999694824219,6285.0
87.9000015258789,12518.0
78.5,4938.0
24.299999237060547,884.0
84.69999694824219,5212.0
66.30000305175781,5283.0
89.9000015258789,5201.0
153.5,8203.0
128.1999969482422,9593.0
198.60000610351562,13158.0
78.30000305175781,5902.0
191.39999389648438,12814.0
114.30000305175781,6889.0
156.3000030517578,8093.0
22.100000381469727,1393.0
145.3000030517578,10762.0
124.69999694824219,9599.0
36.70000076293945,3229.0
198.60000610351562,14879.0
73.0999984741211,5974.0
106.69999694824219,11621.0
35.29999923706055,2409.0
154.1999969482422,11375.0
31.0,2295.0
87.0999984741211,5860.0
152.8000030517578,10028.0
166.0,15779.0
40.400001525878906,2912.0
86.30000305175781,4086.0
107.19999694824219,8725.0
87.9000015258789,6444.0
134.89999389648438,9017.0
115.9000015258789,7035.0
111.19999694824219,10763.0
69.5,5045.0
143.89999389648438,10285.0
165.1999969482422,10683.0
168.3000030517578,13490.0
184.5,10961.0
192.3000030517578,10156.0
144.5,14028.0
39.400001525878906,2627.0
11.800000190734863,1211.0
177.0,14197.0
59.70000076293945,5961.0
73.5,4504.0
62.5,4882.0
170.39999389648438,9695.0
185.8000030517578,14832.0
58.599998474121094,6291.0
44.70000076293945,3783.0
35.599998474121094,4428.0
101.4000015258789,8492.0
89.5,7182.0
193.1999969482422,9035.0
32.900001525878906,1932.0
121.9000015258789,7579.0
29.600000381469727,1546.0
80.5,4897.0
55.5,4737.0
131.1999969482422,8698.0
64.30000305175781,4682.0
54.20000076293945,5163.0
81.30000305175781,6539.0
157.0,10764.0
131.1999969482422,10348.0
42.099998474121094,5010.0
111.0,6975.0
100.9000015258789,7105.0
120.5999984741211,11202.0
92.5,6604.0
58.900001525878906,5309.0
74.80000305175781,4374.0
66.0999984741211,5139.0
128.8000030517578,14215.0
155.60000610351562,14152.0
196.8000030517578,14106.0
108.5999984741211,7226.0
150.39999389648438,10935.0
199.10000610351562,11486.0
138.6999969482422,11052.0
76.19999694824219,4775.0
157.0,15766.0
66.69999694824219,3653.0
143.89999389648438,12679.0
97.30000305175781,6802.0
112.80000305175781,8645.0
189.6999969482422,14397.0
36.29999923706055,3598.0
137.39999389648438,10463.0
115.30000305175781,6806.0
145.89999389648438,10103.0
39.29999923706055,2554.0
177.0,8668.0
157.0,15691.0
108.0999984741211,12031.0
38.5,2390.0
81.69999694824219,7441.0
81.69999694824219,4123.0
28.899999618530273,2112.0
45.5,5849.0
21.799999237060547,1225.0
