time_bkjd,mag,mag_err
217.11083334953582,-0.10854819097825415,1.3157082513699935e-05
217.13126693102822,-0.10587355486090391,1.3172597950458469e-05
217.15170071228204,-0.10323006691551745,1.318809442835297e-05
217.17213439330953,-0.10052814616126025,1.3204017506523225e-05
217.1925679738706,-0.09783848780688166,1.321962234769761e-05
217.21300175442593,-0.09519694226848986,1.3234976492387832e-05
217.23343543428928,-0.09250104990837686,1.3250455547949849e-05
217.25386911415262,-0.08985600945108327,1.3265999057516226e-05
217.27430269354954,-0.08721407143529866,1.3281794421619307e-05
217.29473647270788,-0.08453395806970271,1.329756331843631e-05
217.31517015140707,-0.08185582773109859,1.331327538979321e-05
217.33560373009823,-0.07921996977426005,1.3328560302099793e-05
217.3560375080997,-0.07656098205126174,1.3344171876673353e-05
217.3764711861004,-0.07391769666260145,1.3359796498789023e-05
217.39690476363467,-0.07131640926230864,1.3374864897319343e-05
217.4173384409296,-0.06866426687313439,1.339045661611084e-05
217.43777221799974,-0.06605505416389326,1.3405688964009264e-05
217.45820579459541,-0.0633960120038089,1.3421576253643882e-05
217.4786394709663,-0.06081834999424877,1.3437175395077321e-05
217.49907324687229,-0.058179218522103976,1.345267671424211e-05
217.5195069225374,-0.05558776875879106,1.346822370198942e-05
217.5399404979762,-0.052980386836108145,1.3483728227891371e-05
217.56037417318294,-0.05040479468739438,1.3499265150847754e-05
217.5808079479175,-0.047798187326656305,1.3515137889151423e-05
217.60124152242497,-0.04519188751741854,1.3530357671546397e-05
217.62167519670038,-0.04262974946948403,1.35458278236349e-05
217.6421089705036,-0.04004329991371896,1.3561479410945744e-05
217.66254254407977,-0.037505488206976925,1.3577075525630025e-05
217.68297621719103,-0.03492851635144842,1.3592782633164277e-05
217.703409890295,-0.03240873960014608,1.3607944430886422e-05
217.7238435629406,-0.029914245816756307,1.3622946247220437e-05
217.74427723512053,-0.027341470286224523,1.3638697683376453e-05
217.7647109072932,-0.02486190388345033,1.3653583004345173e-05
217.80557825025608,-0.019902627051325866,1.3684112219483373e-05
217.82601192126458,-0.017492066596821183,1.369844058108926e-05
217.84644549204677,-0.01504330067360356,1.3713418561204363e-05
217.86687926259765,-0.012643387774259865,1.3728043928432553e-05
217.9077465025257,-0.007926483805986716,1.3757424113850083e-05
217.92818027214526,-0.0055198711647391685,1.3772360619888656e-05
217.94861394129111,-0.003200184377498796,1.3786701770995671e-05
217.96904761021142,-0.0008804576896371769,1.380104395299211e-05
217.98948117889813,0.0014015183092787003,1.3815171560380178e-05
218.00991494711343,0.0036774018057740008,1.3829233049981273e-05
218.0303486151024,0.0059282473179038155,1.384321468711598e-05
218.0507821828578,0.008179376739319672,1.3856797418015111e-05
218.07121595014178,0.01036902371690043,1.387048206808121e-05
218.09164961719944,0.012573361018883084,1.388416252097965e-05
218.1120831840235,0.014730317399909636,1.389761060646388e-05
218.13251695037616,0.0168955593135249,1.3911155679017603e-05
218.1529506165025,0.019012693883098442,1.3923758460201954e-05
218.1938178478158,0.023285598287747723,1.3950636488365812e-05
218.21425161301158,0.025399002427008807,1.3964213839438455e-05
218.234685177973,0.02746104614875234,1.3976857068029557e-05
218.25511884246953,0.029496100013634594,1.3989765257828468e-05
